Date,Open,High,Low,Close,Volume,Adjusted,Symbol,EPS,Dividend
2009-05-11,18.918,19.24,18.673,18.098,20229000,17.372953,MA,0.82,0.06
2009-05-12,19.011,19.059,18.455,17.82,20480000,17.106089,MA,0.82,0.06
2009-05-13,18.126,18.362,17.762,17.076,37406000,16.391895,MA,0.82,0.06
2009-05-14,17.709,18.108,17.628,17.334999,26907000,16.640514,MA,0.82,0.06
2009-05-15,17.997,18.118,17.715,17.313,19498000,16.619396,MA,0.82,0.06
2009-05-18,18.195,18.23,17.841,17.34,26282000,16.645323,MA,0.82,0.06
2009-05-19,17.953,17.953,17.34,16.673,32262000,16.005043,MA,0.82,0.06
2009-05-20,17.599,18.386,17.518,16.962999,58524000,16.283422,MA,0.82,0.06
2009-05-21,17.581,18.003,17.501,17.169001,20220000,16.481163,MA,0.82,0.06
2009-05-22,17.538,17.886,17.438,16.836,22554000,16.161509,MA,0.82,0.06
2009-05-26,17.397,17.717,17.217,16.861,22916000,16.185511,MA,0.82,0.06
2009-05-27,17.605,17.93,17.362,16.738001,19871000,16.067438,MA,0.82,0.06
2009-05-28,17.579,17.973,17.502,17.211,16548000,16.521482,MA,0.82,0.06
2009-05-29,17.887,18.369,17.721,17.632999,15013000,16.926586,MA,0.82,0.06
2009-06-01,18.491,18.647,17.888,17.372999,23514000,16.676994,MA,0.82,0.06
2009-06-02,18.035,18.137,17.522,16.839001,23958000,16.164392,MA,0.82,0.06
2009-06-03,17.483,17.568,16.902,16.750999,24355000,16.079908,MA,0.82,0.06
2009-06-04,17.475,17.903,17.216,16.84,46802000,16.165342,MA,0.82,0.06
2009-06-05,17.784,17.844,17.306,16.768,29600000,16.096233,MA,0.82,0.06
2009-06-08,17.325,17.529,17.142,16.597,15603000,15.932087,MA,0.82,0.06
2009-06-09,17.296,17.692,17.126,16.818001,27552000,16.144232,MA,0.82,0.06
2009-06-10,17.702,18.322,17.634,17.360001,58821000,16.664524,MA,0.82,0.06
2009-06-11,18.222,18.267,17.619,16.995001,48560000,16.314137,MA,0.82,0.06
2009-06-12,17.606,17.704,17.272,16.705999,25408000,16.036713,MA,0.82,0.06
2009-06-15,17.215,17.542,17.091,16.646999,17311000,15.980076,MA,0.82,0.06
2009-06-16,17.473,17.525,16.943,16.356001,26840000,15.700743,MA,0.82,0.06
2009-06-17,16.967,17.384,16.966,16.426001,25635000,15.767937,MA,0.82,0.06
2009-06-18,17.002,17.205,16.888,16.339001,15875000,15.684419,MA,0.82,0.06
